Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
1987.04.01,01-Apr-87,1987,Unprovoked,VANUATU,Swimming,M,8,FATAL,Y,12h00,4.3 m shark,3435
1987.03.30.b,30-Mar-87,1987,Unprovoked,AUSTRALIA,Surfing,M,18,Calf lacerated,N,,"Bronze whaler shark, 2 m to 3 m ",3434
1987.03.30.a,30-Mar-87,1987,Provoked,SOUTH AFRICA,,,,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",N,,3 m white shark,3433
1987.02.28,28-Feb-87,1987,Unprovoked,USA,Windsurfing,M,,"Lacerations to toe, heel & ankle of right foot",N,,Spinner shark,3432
1987.02.19,19-Feb-87,1987,Sea Disaster,SOLOMON ISLANDS,The inter-island ferry Vula sank in heavy weather,,,FATAL,Y,,,3431
1987.01.28,28-Jan-87,1987,Unprovoked,SOUTH AFRICA,Spearfishing,M,30,Puncture wounds to right hand,N,12h00,>2.5 m [8.25'] white shark,3430
1987.01.06,06-Jan-87,1987,Unprovoked,AUSTRALIA,Swimming,M,37,Right leg lacerated,N,07h00,,3429
1987.00.00.b,1987,1987,Invalid,MONTENEGRO,Jumped into the water from a cliff,M,,FATAL,Y,,Doubtful / Unconfirmed attack / Unable to verify in local records,3428
1987.00.00.a,1987,1987,Boat,ITALY,Boat,M,,No injury,N,,White shark,3427
1986.12.31,31-Dec-86,1986,Unprovoked,SOUTH AFRICA,Spearfishing,M,,2 punctures in lower leg,N,14h00,"Raggedtooth shark, 2.5 m [8.25'] ",3426
1986.12.22,22-Dec-86,1986,Unprovoked,SOUTH AFRICA,Body boarding,M,21,"FATAL, legs bitten ",Y,17h00,3 m [10'] white shark,3425
1986.12.11,11-Dec-86,1986,Unprovoked,USA,Surfing,M,40,Forearm bitten,N,14h00,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,3424
1986.12.06.b,06-Dec-86,1986,Unprovoked,BAHAMAS,Adrift after ditching plane in the sea,M,37,"No injury, bumped  by sharks",N,,,3423
1986.12.06.a,06-Dec-86,1986,Unprovoked,USA,Free diving  & spearfishing (submerged),M,27,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",N,10h00,5 m to 6 m [16.5' to 20'] white shark,3422
1986.12.04,04-Dec-86,1986,Invalid,SOUTH AFRICA,Spearfishing,M,22,"No injury, no attack, shark made threat displays",N,,1.8 m [6'] copper shark,3421
1986.12.00,Dec-86,1986,Unprovoked,NEW CALEDONIA,Spearfishing,,,Right leg bitten,N,,Tiger shark,3420
1986.11.30,30-Nov-86,1986,Unprovoked,USA,Surfing,M,17,5' gash in leg,N,10h30,,3419
1986.11.19,19-Nov-86,1986,Unprovoked,USA,Surfing,M,26,Laceration to dorsum of left foot,N,10h40,,3418
1986.11.04,04-Nov-86,1986,Unprovoked,USA,Surfing,M,23,Ankle bitten,N,,,3417
1986.10.17,17-Oct-86,1986,Provoked,SOUTH AFRICA,NSB Meshing,M,,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,N,,"Raggedtooth shark, 1.96 m, 140-kg ",3416
1986.10.03,03-Oct-86,1986,Unprovoked,USA,Swimming,F,6,Hip & thigh bitten,N,18h00,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",3415
1986.10.05,05-Oct-86,1986,Unprovoked,SOUTH AFRICA,Racing ski,M,32,"No injury, ski bitten",N,11h00,1.6 m shark,3414
1986.10.01,01-Oct-86,1986,Unprovoked,AUSTRALIA,,,,No details,UNKNOWN,,,3413
1986.10.00,Oct-86,1986,Unprovoked,USA,Surfing,M,28,Laceration to right arm,N,,Bull shark,3412
1986.09.22.R,Reported 22-Sep-1986 ,1986,Invalid,USA,,,,Human hand recovered from shark's stomach,N,,1.5 m [5'] blacktip shark,3411
1986.09.00.b,Sep-86,1986,Unprovoked,USA,Surfing,,,Survived,N,,,3410
1986.09.00.a,Sep-86,1986,Unprovoked,USA,Surfing,,18,Hand bitten,N,,,3409
1986.08.19,19-Aug-86,1986,Unprovoked,USA,Surfing,,16,Hand bitten,N,,,3408
1986.08.10,10-Aug-86,1986,Invalid,SOUTH AFRICA,Spearfishing,M,35,"No injury, shark made threat display & impaled itself on spear ",N,11h30,4 m [13'] white shark,3407
1986.08.03,03-Aug-86,1986,Unprovoked,AUSTRALIA,Scuba diving,F,,Survived,N,,Wobbegong shark,3406
1986.08.00,Aug-86,1986,Unprovoked,FRANCE,,,,Survived,N,,,3405
1986.07.26,26-Jul-86,1986,Boat,AUSTRALIA,Fishing,,,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",N,,Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length,3404
1986.07.09,09-Jul-86,1986,Unprovoked,USA,,M,8,Back of left thigh bitten,N,,1.5 m [5'] shark,3403
1986.07.00.a,Jul-86,1986,Unprovoked,SOUTH AFRICA,Spearfishing,M,26,Minor lacerations on left hand,N,17h15,1.2 m [4'] dusky shark,3402
1986.05.18,18-May-86,1986,Unprovoked,AUSTRALIA,Scuba diving,M,,Survived,N,,Wobbegong shark,3401
1986.05.15,15-May-86,1986,Unprovoked,SOUTH KOREA,Shell diving,M,,FATAL,Y,,,3400
1986.04.20,20-Apr-86,1986,Unprovoked,USA,"Fishing, fell from rocks & disappeared",M,,Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,Y,,,3399
1986.04.00,Apr-86,1986,Unprovoked,SPAIN,Diving,M,,Abrasions,N,,2 m shark,3398
1986.03.18,18-Mar-86,1986,Unprovoked,SPAIN,Windsurfing,M,,Foot severed,N,10h55,3.5 m white shark,3397
1986.03.15,15-Mar-86,1986,Unprovoked,SOUTH AFRICA,Treading water,M,26,Foot bitten,N,16h15,>1 m shark,3396
1986.03.05,05-Mar-86,1986,Unprovoked,SOUTH AFRICA,Surfing,M,23,"No injury, board struck by shark",N,,2 m [6.75'] shark,3395
1986.02.18,18-Feb-86,1986,Unprovoked,SOUTH AFRICA,Surfing,M,21,"No injury, board bitten",N,12h00,>2.4 m [8'] white shark,3394
1986.02.17,17-Feb-86,1986,Unprovoked,SOUTH AFRICA,Surfing,M,,"No injury, knocked off board",N,18h00,,3393
1986.02.07,07-Feb-86,1986,Unprovoked,SOUTH AFRICA,Swimming,M,46,Lower leg lacerated,N,18h30,Raggedtooth shark,3392
1986.02.06,06-Feb-86,1986,Unprovoked,SOUTH AFRICA,Spearfishing,M,29,2 punctures in upper arm,N,13h30,"Raggedtooth shark, 2 m [6.75'] ",3391
1986.02.01,01-Feb-86,1986,Unprovoked,AUSTRALIA,Surfing,M,29,"No injury, knocked into water & board bitten",N,06j00,"Bronze whaler shark, 3.5 m ",3390
1986.01.12,12-Jan-86,1986,Unprovoked,USA,Surfing,M,22,Puncture wounds to both feet,N,08h35,Blacktip shark,3389
1986.00.00,1986,1986,Unprovoked,USA,Surfing,M,16,"No injury, foot bumped",N,13h00,1.5 m [5'] shark,3388
1985.12.22,22-Dec-85,1985,Unprovoked,SOUTH AFRICA,Surfing,M,,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",N,,,3387
1985.12.10,10-Dec-85,1985,Unprovoked,USA,,M,,Survived,N,,Sandtiger shark,3386
1985.11.11,11-Nov-85,1985,Provoked,AUSTRALIA,Fishing,M,,Laceration to lower left leg by hooked shark PROVOKED INCIDENT,N,Afternoon,1m shark,3385
1985.11.05,05-Nov-85,1985,Boat,USA,Boat,,,2 semi-circular bites on aft starboard tube of boat,N,,5.2 to 5.8 m white shark,3384
1985.11.03,03-Nov-85,1985,Provoked,USA,Fishing,M,24,Forearm bitten by hooked shark PROVOKED INCIDENT,N,,,3383
1985.10.24,24-Oct-85,1985,Unprovoked,SOUTH AFRICA,Body boarding,M,22,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",N,08h00,2.5 m [8.25'] white shark,3382
1985.10.22,22-Oct-85,1985,Unprovoked,USA,Hookah diving for abalone,M,46,Minor injury to foot & ankle,N,16h00,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,3381
1985.10.18,18-Oct-85,1985,Unprovoked,USA,Body boarding,M,33,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,,"Thought to involve a Tiger shark,  3.7 m [12'] ",3380
1985.10.12,12-Oct-85,1985,Unprovoked,USA,Floating on inner tube after diving for lobster,M,24,Left arm lacerated,N,,1.8 m to 2.4 m [6' to 8'] shark,3379
1985.10.05,  05-Oct-1985,1985,Provoked,USA,Fishing,M,,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,,"6', 100-lb shark",3378
1985.09.28,28-Sep-85,1985,Unprovoked,USA,Free diving & spearfishing (descending),M,,"Hip bumped by shark, no Injury",N,,4 m to 5 m [13' to 16.5'] white shark,3377
1985.09.08.b,08-Sep-85,1985,Invalid,SOUTH AFRICA,Swimming,M,21,Probable drowning / scavenging,Y,,,3376
1985.09.08.a,08-Sep-85,1985,Unprovoked,USA,Scuba diving,M,,Laceration and 4 puncture wounds to left hand,N,15h00,1.8 m silky shark,3375
1985.09.05,05-Sep-85,1985,Invalid,USA,Swimming,M,17,Found to be a hoax,N,Afternoon,,3374
1985.08.22,22-Aug-85,1985,Unprovoked,USA,Wading,M,87,Right calf bitten & less serious injury to left foot,N,,,3373
1985.08.20,20-Aug-85,1985,Invalid,USA,Wading,M,11,"3"" wound on thigh",N,13h00,Shark involvement not confirmed,3372
1985.08.17,17-Aug-85,1985,Invalid,USA,Scuba diving,M,67,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,Y,10h30,Shark involvement prior to death not confirmed,3371
1985.07.25.b,25-Jul-85,1985,Unprovoked,USA,Wading,F,13,Right calf bitten,N,17h00,Possibly a small hammerhead shark,3370
1985.07.25.a,25-Jul-85,1985,Unprovoked,USA,Surfing,M,15,Hand bitten,N,10h22,,3369
1985.07.21,21-Jul-85,1985,Boat,USA,Bottom fishing for lingcod & had hooked a fish,,,"No injury to occupant, shark rammed boat catapulting it out of the water",N,,5 m to 6 m [16.5' to 20'] white shark,3368
1985.07.19,19-Jul-85,1985,Unprovoked,USA,Playing in knee-deep water,F,10,2/3rd of left calf removed,N,,"Tiger shark, 2.4 m to 2.7 m [8' to 9'] ",3367
1985.07.00,Mid Jul-1985 or mid Jul-1986,1985,Unprovoked,ITALY,Snorkeling,M,13,Contusion of left foot,N,16h00,"3 m to 3.6 m  [10' to 11'9""] white shark",3366
1985.05.26,26-May-85,1985,Unprovoked,USA,"Surfing, but lying prone on his board",M,,Leg injured,N,,Shark involvement not confirmed,3365
1985.05.08,08-May-85,1985,Provoked,SOUTH AFRICA,Spearfishing,M,39,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",N,,30-kg [66-lb] shark,3364
1985.03.16,16-Mar-85,1985,Unprovoked,USA,Surfing,M,25,Hand bitten,N,,,3363
1985.03.03,03-Mar-85,1985,Unprovoked,AUSTRALIA,Free diving for scallops,F,33,FATAL,Y,12h30,6 m [20'] white shark,3362
1985.02.18,18-Feb-85,1985,Unprovoked,USA,Scuba Diving for lobster (at surface),M,29,Bruised,N,12h45,6 m [20'] white shark,3361
1985.02.03,03-Feb-85,1985,Unprovoked,USA,Surfing,M,16,Right foot bitten,N,Afternoon,,3360
1985.01.27,27-Jan-85,1985,Unprovoked,SOUTH AFRICA,Swimming,M,15,"Right knee, calf and ankle lacerated",N,18h30,Raggedtooth shark,3359
1985.01.18,18-Jan-85,1985,Invalid,SOUTH AFRICA,,M,,Probable drowning / scavenging,Y,,,3358
1985.01.17,17-Jan-85,1985,Unprovoked,SOUTH AFRICA,Surfing,M,18,Thigh & calf bitten,N,18h30,"3.5 m white shark, tooth fragments recovered",3357
1985.01.16,16-Jan-85,1985,Boat,NEW ZEALAND,Investigating shark sighting,,,"No injury to occupant, shark bit boat",N,,6 m shark,3356
1985.01.04,04-Jan-85,1985,Unprovoked,SOUTH AFRICA,Spearfishing,M,34,Minor injury to torso,N,11h30,3.5 m [11.5'] white shark,3355
1985.01.00.b,Jan-85,1985,Unprovoked,NEW CALEDONIA,Spearfishing,,,Legs bitten ,N,,Tiger shark,3354
1985.01.00.a,Jan-85,1985,Provoked,SOUTH AFRICA,Spearfishing,M,20,Upper right arm bitten after he shot the shark PROVOKED INCIDENT,N,11h00,1.5 m [5'] dusky shark,3353
1985.00.00.f,1985,1985,Unprovoked,VANUATU,,M,,FATAL,Y,,,3352
1985.00.00.a,1985,1985,Unprovoked,IRAN,Fishing,M,,FATAL,Y,,Bull shark,3351
1984.12.03,03-Dec-84,1984,Boat,ITALY,Boat,,,No injury,N,,White shark,3350
1984.11.30,30-Nov-84,1984,Unprovoked,AUSTRALIA,Sailing on catamaran & fell into the water,M,16,FATAL,Y,12h33,"Tiger shark, 4 m ",3349
1984.11.11,11-Nov-84,1984,Unprovoked,USA,Surfing,M,13,Left foot bitten,N,,1.2 m [4'] shark,3348
1984.11.04,04-Nov-84,1984,Provoked,USA,Spearfishing,M,29,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,,"""a small shark""",3346
1984.10.21.b,21-Oct-84,1984,Invalid,USA,Swimming,M,22,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",Y,14h00,,3345
1984.10.21,21-Oct-84,1984,Unprovoked,USA,Surfing or body surfing,F,23,"9"" laceration to right forearm ",N,13h30,1.5 m [5'] shark,3344
1984.10.17,17-Oct-84,1984,Invalid,USA,Wading,F,77,"10"" laceration on leg",N,12h05,Shark involvement not confirmed; officials considered barracua,3343
1984.10.14.a,14-Oct-84,1984,Unprovoked,USA,Surfing,M,15,Left calf bitten,N,15h00,1.2 m [4'] blacktip shark,3342
1984.09.30.b,30-Sep-84,1984,Unprovoked,USA,Surfing (sitting on his board),M,25,"Abrasion on right foot, board bitten",N,15h30,3 m to 5 m [10' to 16.5'] white shark,3341
1984.09.30.a,30-Sep-84,1984,Unprovoked,USA,"Free diving , but surfacing",M,,Legs & buttocks bitten,N,10h00,3 m to 4 m [10' to 13']  white shark,3340
1984.09.23,23-Sep-84,1984,Unprovoked,USA,Surfing,M,17,Right foot bitten,N,14h00,,3339
1984.09.22.b,22-Sep-84,1984,Unprovoked,USA,Swimming,M,Elderly,Left foot lacerated,N,,,3338
1984.09.22.a,22-Sep-84,1984,Unprovoked,USA,Surfing,M,16,Foot bitten,N,Morning,Hammerhead shark?+O2356,3337
1984.09.19,19-Sep-84,1984,Unprovoked,USA,Swimming,,,No details,UNKNOWN,,,3336
1984.09.17,17-Sep-84,1984,Unprovoked,USA,Wading,M,,Arm bitten,N,15h30,small blue shark,3335
1984.09.15,15-Sep-84,1984,Unprovoked,USA,Skindiving,M,28,FATAL,Y,08h30,4.5 m to 5 m white shark,3334
1984.09.11,11-Sep-84,1984,Provoked,MEXICO,Spearfishing,M,,"No Injury, PROVOKED INCIDENT",N,17h50,4.5 m to 5.5m white shark,3333
1984.08.24,24-Aug-84,1984,Invalid,USA,Boat capsized?,F,31,Death was due to drowning; body scavenged by a shark,Y,,Tiger shark,3332
1984.08.07,07-Aug-84,1984,Unprovoked,INDONESIA,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",M,,FATAL,Y,,,3331
1984.07.24.b,24-Jul-84,1984,Unprovoked,USA,Swimming,F,13,Lacerations on right foot,N,14h30,,3330
1984.07.24.a,24-Jul-84,1984,Unprovoked,USA,Swimming,F,18,Legs severely lacerated,N,12h00,1.2 m [4'] shark,3329
1984.07.22,22-Jul-84,1984,Invalid,SOUTH AFRICA,Spearfishing,M,21,"FATAL, but shark involvement prior to death could not be determined",Y,11h00,,3328
1984.07.01,01-Jul-84,1984,Unprovoked,USA,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",M,30,Leg abraded,N,18h00,,3327
1984.07.00.a,Jul-84,1984,Unprovoked,SOUTH AFRICA,Spearfishing,M,,"No injury, shark hit swim fin",N,,Raggedtooth shark ,3326
1984.06.15,15-Jun-84,1984,Unprovoked,SOUTH AFRICA,Surfing,M,27,"No injury, board bitten",N,17h30,2.4 m [8'] white shark,3325
1984.06.03.b,03-Jun-84,1984,Unprovoked,USA,Towing her sister on plastic ski board,F,13,Foot bitten,N,17h00,1.2 m to 1.5 m [4' to 5'] hammerhead shark,3324
1984.06.03,03-Jun-84,1984,Unprovoked,VANUATU,Swimming,M,20s,FATAL,Y,,,3323
1984.05.31,31-May-84,1984,Unprovoked,SOUTH AFRICA,Spearfishing,M,28,Swim fin bitten,N,13h30,,3322
1984.03.17,17-Mar-84,1984,Invalid,SOMALIA,Murder,M,, Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed ,Y,,,3321
1984.03.14,14-Mar-84,1984,Unprovoked,SOUTH AFRICA,Surfing,M,,"No injury, 8 pressure dings in surboard",N,17h30,,3320
1984.03.10,10-Mar-84,1984,Boat,SOUTH AFRICA,Rowing,M,,"No injury to occupant, shark seized oar and disappeared with it.",N,,2.5 m [8.25'] shark,3319
1984.03.01,01-Mar-84,1984,Unprovoked,AUSTRALIA,,,,No details,UNKNOWN,,,3318
1984.02.18,18-Feb-84,1984,Provoked,SOUTH AFRICA,Fishing,M,,Leg lacerated by hooked shark PROVOKED INCIDENT,N,Night,"Raggedtooth shark, 56-kg [123-lb] ",3317
1984.02.17,17-Feb-84,1984,Provoked,SOUTH AFRICA,Scuba diving,M,33,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,09h00, 1.5 m [5'] dusky shark,3316
1984.02.12,12-Feb-84,1984,Invalid,SOUTH AFRICA,,,,"Human remains recovered, evidence of scavenging by shark/s",Y,,,3315
1984.02.11,11-Feb-84,1984,Unprovoked,AUSTRALIA,Spearfishing,M,27,Hand bitten,N,,1.5 m white-tipped reef shark,3314
1984.01.05,05-Jan-84,1984,Unprovoked,SOUTH AFRICA,Swimming,M,14,Foot bitten,N,09h30,"Raggedtooth shark, 1 m ",3313
1984.01.04,04-Jan-84,1984,Unprovoked,SOUTH AFRICA,,F,14,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,,,3312
1984.00.00.b,1984,1984,Provoked,USA,Steinhart Aquarium,M,,Head mouthed by captive shark PROVOKED INCIDENT,N,,Sevengill shark,3311
1984.00.00.a,1984,1984,Unprovoked,USA,Surfing,M,,Right foot bitten,N,,,3310
1983.12.30,30-Dec-83,1983,Invalid,GREECE,Spearfishing,M,36,"Coroner determined the man was killed by a boat propeller, not a tiger shark",Y,02h45,,3309
1983.12.25,25-Dec-83,1983,Unprovoked,USA,Surfing,M,17,Left foot & thigh bitten,N,15h30,,3308
1983.12.24,24-Dec-83,1983,Unprovoked,AUSTRALIA,Scuba diving for abalone,M,48,Fingers bitten,N,,12' white shark,3307
1983.12.22,22-Dec-83,1983,Unprovoked,SOUTH AFRICA,Swimming,M,16,"Left calf, ankle & foot lacerated",N,12h30,,3306
1983.12.21,21-Dec-83,1983,Unprovoked,SOUTH AFRICA,Swimming,M,47,Shin lacerated,N,08h15,"Raggedtooth shark, >1 m ",3305
1983.12.07,07-Dec-83,1983,Invalid,SOUTH AFRICA,,M,,"Two feet found in shark, postmortem scavenging",N,,"1.74 m, 116-kg Zambesi shark",3304
1983.11.21,21-Nov-83,1983,Sea Disaster,PHILIPPINES,Ferry boat sank,M,,Left foot nipped,N,,.5 m shark,3303
1983.11.10.R,Reported      10-Nov-1983,1983,Unprovoked,USA,Surfing,M,15,Laceration to left foot,N,,Tiger shark,3302
1983.11.10,10-Nov-83,1983,Invalid,SOUTH AFRICA,Swimming,F,,Probable drowning and scavenging,Y,,,3301
1983.10.17.a,17-Oct-83,1983,Unprovoked,USA,Surfing,M,16,Puncture marks in leg & surfboard dinged,N,,1.5 m [5'] shark,3300
1983.10.13,13-Oct-83,1983,Unprovoked,USA,Wading,M,20,Lacerations to left ankle,N,,4.5' shark,3299
1983.09.04,04-Sep-83,1983,Unprovoked,USA,Standing,M,15,Abrasions to leg,N,,,3298
1983.08.20.b,20-Aug-83,1983,Unprovoked,USA,Surfing,M,,"No injury, board bitten",N,10h00,White shark,3297
1983.08.20.a,20-Aug-83,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,29,Inner thighs lacerated,N,10h00,5 m [16.5'] white shark,3296
1983.08.15,15-Aug-83,1983,Unprovoked,USA,Swimming,F,14,Foot bitten,N,Morning,Sand shark,3295
1983.08.13.b,13-Aug-83,1983,Provoked,USA,Skindiving,M,14,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,,Nurse shark,3294
1983.08.13.a,13-Aug-83,1983,Unprovoked,USA,Diving,F,22,Right leg severely bitten,N,Morning,6' to 8' bull shark,3293
1983.08.06,06-Aug-83,1983,Boat,USA,Fishing,,,No injury to occupants,N,,,3292
1983.07.26,26-Jul-83,1983,Sea Disaster,AUSTRALIA,Swimming from the New Venture ,F,21,"FATAL, shark seized her by the chest and took her underwater ",Y,04h00,"Tiger shark, 5 m [16.5']",3291
1983.07.25.b,25-Jul-83,1983,Sea Disaster,AUSTRALIA,Swimming from the New Venture ,M,24,"FATAL, shark bit leg, then dragged him underwater ",Y,Night,"Tiger shark, 5 m [16.5']",3290
1983.07.25.a,25-Jul-83,1983,Sea Disaster,AUSTRALIA,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,"Left knee bitten, but survived",N,Night,"Tiger shark, 5 m [16.5']",3289
1983.07.15,15-Jul-83,1983,Unprovoked,SOUTH AFRICA,Surfing,M,,Left arm injured by shark's tail as it swam beneath his board,N,,3 m to 4 m [10' to 13'] shark,3288
1983.07.12.b,12-Jul-83,1983,Unprovoked,USA,Windsurfing,F,39,Left ankle nipped (3 punctures wounds),N,Afternoon,3.5' hammerhead shark,3287
1983.07.12.a,08-Jul-83,1983,Unprovoked,BAHAMAS,Spearfishing,M,13,Lacerations to left calf,N,12h00,,3286
1983.07.05,05-Jul-83,1983,Unprovoked,USA,Floating on air mattress,,17,"No injury, shark bit air mattress, deflating it",N,,,3285
1983.06.29,29-Jun-83,1983,Unprovoked,USA,Swimming,M,42,Left foot bitten,N,11h00,,3284
1983.06.22,22-Jun-83,1983,Unprovoked,BAHAMAS,Spearfishing,M,15,FATAL,Y,16h00,,3283
1983.06.20,20-Jun-83,1983,Unprovoked,USA,Surfing & dangling foot in water amid baitfish,M,21,Left foot lacerated,N,16h30,,3282
1983.06.15,15-Jun-83,1983,Unprovoked,BAHAMAS,,M,30,Lacerations to hand & foot,N,11h00,6' blacktip shark,3281
1983.06.15,15-Jun-83,1983,Invalid,ITALY,Scuba diving,M,,"No injury, shark ""harassed"" him at depth of 5 m",N,,3 m [10'] white shark,3280
1983.06.00,Jun-83,1983,Unprovoked,BAHAMAS,Spearfishing,M,,Lacerations to thigh & buttocks,N,17h00,Caribbean reef shark,3279
1983.05.31,31-May-83,1983,Unprovoked,USA,Water-skiing,M,21,"Left calf, knee & hands lacerated",N,Dusk,6' shark,3278
1983.05.24,24-May-83,1983,Unprovoked,USA,Surfing,M,15,"Knocked off board by shark, no injury",N,,,3277
1983.05.21,21-May-83,1983,Unprovoked,USA,Surfing,M,22,Right foot bitten,N,14h00,,3276
1983.04.19,19-Apr-83,1983,Unprovoked,USA,Surfing,M,,No details,UNKNOWN,,,3275
1983.04.12,12-Apr-83,1983,Unprovoked,SOUTH AFRICA,Fishing,M,27,Puncture wounds to foot,N,19h30,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",3274
1983.04.02.b,02-Apr-83,1983,Unprovoked,USA,Surfing,M,16,Left foot bitten,N,11h00,,3273
1983.04.02.a,02-Apr-83,1983,Invalid,SOUTH AFRICA,,M,,Survived,N,,,3272
1983.03.30.a,30-Mar-83,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,17,Right calf lacerated,N,11h15,1.8 m [6'] Zambezi shark,3271
1983.03.22,22-Mar-83,1983,Unprovoked,SOUTH AFRICA,Surfing,M,,"No injury, board bitten",N,12h30,Blacktip or spinner shark,3270
1983.03.10,10-Mar-83,1983,Unprovoked,USA,Surfing,M,,"Shark nudged board, no injury",N,,,3269
1983.03.00,Mar-83,1983,Unprovoked,NEW CALEDONIA,,,,Calf bitten,N,,"""a small shark""",3268
1983.02.20,20-Feb-83,1983,Unprovoked,SOUTH AFRICA,Paddleskiing,M,16,Puncture wounds to buttocks,N,12h30,3 m [10'] shark,3267
1983.01.24,24-Jan-83,1983,Provoked,USA,Fishing,M,43,Leg bitten by captive shark PROVOKED INCIDENT,N,,,3266
1983.01.15,15-Jan-83,1983,Invalid,SOUTH AFRICA,,M,,FATAL,Y,,,3265
1983.01.10,10-Jan-83,1983,Unprovoked,SOUTH AFRICA,Windsurfing,M,22,Left foot lacerated,N,18h15,,3264
1983.01.08,08-Jan-83,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,32,"No injury, rammed by shark",N,13h00,White shark,3263
1983.00.00.d,Ca. 1983,1983,Unprovoked,ENGLAND,Swimming,M,,Left leg bitten,N,,,3262
1983.00.00.c,1983,1983,Unprovoked,VANUATU,Ran into the water,M,,"FATAL, arm/shoulder severed ",Y,,,3261
1983.00.00.b,1983,1983,Provoked,USA,Fishing,M,,Bitten on their feet by landed sharks / lacerations only PROVOKED INCIDENTS,N,,Blue sharks,3260
1982.11.00,Nov-82,1982,Unprovoked,USA,In waist-deep water,M,,Arm bitten,N,,,3259
1982.10.13,13-Oct-82,1982,Unprovoked,USA,Windsurfing,M,26,Left foot lacerated,N,11h00,1.5 m [5'] shark,3258
1982.09.30.b,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Surfing,M,16,"No injury, pressure ding on surfboard",N,16h00,,3257
1982.09.30.a,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Surfing,M,16,"No Injury, surfboard bitten",N,14h50,"Believed to involve a 2.8 m [9'3""] white shark",3256
1982.09.27,27-Sep-82,1982,Unprovoked,USA,Surfing,M,20,Laceration to lower left leg,N,13h30,1.5 m [5'] shark,3255
1982.09.25,25-Sep-82,1982,Unprovoked,USA,Diving,M,36,Lacerations to hand,N,Morning,White shark,3254
1982.09.19,19-Sep-82,1982,Unprovoked,USA,Free diving for abalone from Zodiac (submerged),M,28,Upper left thigh & buttocks bitten,N,14h30,5 m to 6 m [16.5' to 20'] white shark,3253
1982.09.04,04-Sep-82,1982,Invalid,USA,,M,mid-20s,"Remains recovered from shark, but shark involvement prior to death unknown",Y,,"Tiger shark, 2.7 m [9'5""], 364-lb",3252
1982.08.29.c,29-Aug-82,1982,Unprovoked,JAPAN,,M,,FATAL,Y,,,3251
1982.08.29.b,29-Aug-82,1982,Invalid,USA,Surfing,M,17,"No Injury, board bitten",N,10h20,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,3250
1982.08.29.a,29-Aug-82,1982,Unprovoked,SOUTH AFRICA,Swimming,F,18,"Left knee, lower leg & foot bitten",N,12h00,,3249
1982.08.00,Late Aug-1982,1982,Unprovoked,TUNISIA,Windsurfing,M,,Thigh lacerated,N,,"2.1 m [7'] shark, possibly a spinner shark",3248
1982.07.31,31-Jul-82,1982,Invalid,SOUTH AFRICA,Boogie boarding,M,20,"No injury, swim fin bitten",N,16h00,,3247
1982.07.24.b,24-Jul-82,1982,Unprovoked,SOUTH AFRICA,Paddleskiing,M,38,"No injury, ski bitten",N,16h00,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",3246
1982.07.24.a,24-Jul-82,1982,Unprovoked,USA,Paddle Boarding,M,26,"No Injury, board bitten",N,11h00,4.5 m to 5.5 m [14.7' to 18'] white shark,3245
